supplier_name,supplier_id
"2F PROTOTYPES CO., LTD",Supplier_1
ANANDIT INFOTECH INDIA PVT LTD,Supplier_2
ATK AUDIOTEK CORP,Supplier_3
"Amazon Capital Services, Inc.",Supplier_4
Amplio Automatika Zrt.,Supplier_5
CDW DIRECT LLC,Supplier_6
Climatec Eastern Europe Kft,Supplier_7
DOITER CASTINGS,Supplier_8
DONGGUAN ARES PRECISION LTD CO,Supplier_9
Dongguan Forwa Precision Industry,Supplier_10
FASTRONG ELECTRICAL APPLIANCES CO,Supplier_11
FASTRONG TECHNOLOGIES CORP,Supplier_12
FESTO PNEUMATIC SA,Supplier_13
FULLTECH INDUSTRY CO LTD,Supplier_14
GREEN TEC,Supplier_15
HARMINIE ENTERPRISES INC,Supplier_16
HUIZHOU DESAY PRECISION PARTS CO,Supplier_17
"Hana Steel Co., Ltd.",Supplier_18
Harman Professional Inc.,Supplier_19
IC&S SA DE CV,Supplier_20
INPLAST PLASTIC & ELECTRONICS,Supplier_21
ISQUARE SAFETY EQUIPMENTS PVT LTD,Supplier_22
International Border Supply Automat,Supplier_23
KEYENCE INTERNATIONAL (BELGIUM) NV,Supplier_24
KEYENCE MEXICO SA DE CV,Supplier_25
KUNSHAN SHOUJIA MACHINING PARTS,Supplier_26
MASTARS INDUSTRIES CO LTD,Supplier_27
MISELEC JUAREZ SA DE CV,Supplier_28
NIHON DENKEI CO LTD,Supplier_29
PENN & ELCOM HONG KONG LTD,Supplier_30
PLASTIC MOLDING TECHNOLOGY LLC,Supplier_31
Quetzalcoatl Ferrero Carlos,Supplier_32
SCOFED TESTING TECHNOLOGY (SUZHOU),Supplier_33
SHANDONG GETTOP ACOUSTIC CO LTD,Supplier_34
SHI CHENG TOOLING HONG KONG CO LTD,Supplier_35
SICK AUTOMATION SOLUTIONS SA DE CV,Supplier_36
SIP MAXCOM TECHNOLOGY CO LTD,Supplier_37
SODISAUT,Supplier_38
SURFACE CAM ENGINEERING SOLUTIONS,Supplier_39
SUZHOU CHEERSSON PRECISION INDUSTRY,Supplier_40
SUZHOU GOUTECH PRECISION,Supplier_41
SUZHOU HIGH FRAME PRECISION MOLD CO,Supplier_42
SUZHOU TITU AUTOMATION TECHNOLOGY,Supplier_43
Solectrix Systems GmbH,Supplier_44
Suzhou Breting Electronics Co. Ltd,Supplier_45
TRIPAK SOLUTIONS,Supplier_46
"Thales Avionics, Inc.",Supplier_47
ZHONG SHAN SHI CHENG TOOLING CO LTD,Supplier_48
